sic_start,sic_end,effective_from,effective_to,research_sector,sector_etf,mapping_rationale,mapping_confidence,mapping_specificity,review_status,reviewer,review_date,source_reference
0100,0999,,,Materials,XLB,Agriculture/forestry/fishing - closest SPDR proxy is Materials,LOW,division_range,pending,,,SIC division structure + SPDR select-sector definitions
1000,1099,,,Materials,XLB,Metal mining - Materials (coal split out per owner countersign; 1100-1199 explicitly unmapped rather than absorbed),MEDIUM,narrow_range,pending,,,Owner countersign review 2026-07-11
1200,1299,,,Energy,XLE,Coal mining (SIC 1221 et al.) - GICS Coal & Consumable Fuels = Energy,HIGH,narrow_range,pending,,,Owner countersign review 2026-07-11
1300,1399,,,Energy,XLE,Oil and gas extraction and field services - Energy,HIGH,narrow_range,pending,,,SIC division structure + SPDR select-sector definitions
1400,1499,,,Materials,XLB,Nonmetallic mineral mining - Materials,MEDIUM,narrow_range,pending,,,SIC division structure + SPDR select-sector definitions
1500,1519,,,Industrials,XLI,General building contractors NEC - flagged for review at the impact report (mixed residential/nonresidential codes) per owner countersign,MEDIUM,narrow_range,pending,,,Owner countersign review 2026-07-11
1520,1539,,,Consumer Discretionary,XLY,Residential building contractors and operative builders (1520/1531 - DHI class) - GICS Homebuilding = Consumer Discretionary; XLY holdings verified,HIGH,narrow_range,pending,,,Owner countersign review 2026-07-11
1540,1799,,,Industrials,XLI,Industrial/commercial construction and special trade contractors - Industrials,MEDIUM,narrow_range,pending,,,SIC division structure + SPDR select-sector definitions
2000,2199,,,Consumer Staples,XLP,Food beverage and tobacco manufacturing - Staples,HIGH,division_range,pending,,,SIC division structure + SPDR select-sector definitions
2200,2399,,,Consumer Discretionary,XLY,Textiles and apparel - Discretionary,MEDIUM,division_range,pending,,,SIC division structure + SPDR select-sector definitions
2400,2499,,,Materials,XLB,Lumber and wood products - Materials,MEDIUM,narrow_range,pending,,,SIC division structure + SPDR select-sector definitions
2500,2599,,,Consumer Discretionary,XLY,Furniture and fixtures - Discretionary (household durables); split from the overbroad 2400-2699 per owner review,MEDIUM,narrow_range,pending,,,SIC division structure + SPDR select-sector definitions
2600,2699,,,Materials,XLB,Paper and allied products - Materials,MEDIUM,narrow_range,pending,,,SIC division structure + SPDR select-sector definitions
2700,2749,,2018-09-28,Consumer Discretionary,XLY,"Publishing/media (newspapers, periodicals, books) pre-2018 - Discretionary media",MEDIUM,narrow_range,pending,,,SIC division structure + SPDR select-sector definitions
2700,2749,2018-10-01,,Communication Services,XLC,Publishing/media post-GICS-2018 - Communication Services (classification effective 2018-10-01); MEDIUM per owner (subclasses remain mixed),MEDIUM,narrow_range,pending,,,GICS 2018 restructure implemented after the 2018-09-28 close; first trading session under the new classification = 2018-10-01. ETF availability (XLC first usable return 2018-06-19) is a separate registered property
2750,2799,,,Industrials,XLI,Commercial printing and allied services - GICS Commercial Printing = Industrials (never moved to Communication Services) per owner countersign,MEDIUM,narrow_range,pending,,,Owner countersign review 2026-07-11
2800,2829,,,Materials,XLB,Industrial chemicals - Materials,MEDIUM,narrow_range,pending,,,SIC division structure + SPDR select-sector definitions
2830,2836,,,Health Care,XLV,Drugs pharma and biologicals - Health Care,HIGH,narrow_range,pending,,,SIC division structure + SPDR select-sector definitions
2840,2844,,,Consumer Staples,XLP,"Soap, detergents, cosmetics and toiletries - household & personal products = Consumer Staples (KVUE SIC 2844 verified in XLP holdings; fixes the confirmed pilot misclassification)",HIGH,narrow_range,pending,,,Owner review 2026-07-11: S&P classifies Kenvue as Consumer Staples; XLP holdings
2845,2899,,,Materials,XLB,"Paints, industrial organics, agricultural and misc chemicals - Materials (cosmetics 2840-2844 split out per owner review)",MEDIUM,narrow_range,pending,,,SIC division structure + SPDR select-sector definitions
2900,2999,,,Energy,XLE,Petroleum refining - Energy,HIGH,narrow_range,pending,,,SIC division structure + SPDR select-sector definitions
3000,3099,,,Materials,XLB,Rubber and plastic products - Materials,MEDIUM,narrow_range,pending,,,SIC division structure + SPDR select-sector definitions
3100,3199,,,Consumer Discretionary,XLY,Leather and footwear - Discretionary,MEDIUM,narrow_range,pending,,,SIC division structure + SPDR select-sector definitions
3200,3299,,,Materials,XLB,Stone clay and glass - Materials,MEDIUM,narrow_range,pending,,,SIC division structure + SPDR select-sector definitions
3300,3399,,,Materials,XLB,Primary metal industries - Materials,HIGH,narrow_range,pending,,,SIC division structure + SPDR select-sector definitions
3400,3499,,,Industrials,XLI,Fabricated metal products - Industrials,MEDIUM,narrow_range,pending,,,SIC division structure + SPDR select-sector definitions
3500,3569,,,Industrials,XLI,Industrial and commercial machinery - Industrials,MEDIUM,narrow_range,pending,,,SIC division structure + SPDR select-sector definitions
3570,3579,,,Information Technology,XLK,Computer and office equipment - Technology,HIGH,narrow_range,pending,,,SIC division structure + SPDR select-sector definitions
3580,3599,,,Industrials,XLI,Refrigeration and service machinery - Industrials,MEDIUM,narrow_range,pending,,,SIC division structure + SPDR select-sector definitions
3600,3629,,,Industrials,XLI,"Electrical equipment, motors and industrial apparatus - Industrials; split from the overbroad 3600-3699 per owner review",MEDIUM,narrow_range,pending,,,SIC division structure + SPDR select-sector definitions
3630,3639,,,Consumer Discretionary,XLY,Household appliances - Discretionary,MEDIUM,narrow_range,pending,,,SIC division structure + SPDR select-sector definitions
3640,3649,,,Industrials,XLI,Lighting and wiring equipment - likely Industrials per owner review,MEDIUM,narrow_range,pending,,,SIC division structure + SPDR select-sector definitions
3650,3659,,,Consumer Discretionary,XLY,Household audio/video and prerecorded media - consumer electronics = Discretionary; flagged for separate review per owner,MEDIUM,narrow_range,pending,,,SIC division structure + SPDR select-sector definitions
3660,3679,,,Information Technology,XLK,"Communications equipment, electronic components and semiconductors (3674) - Technology",HIGH,narrow_range,pending,,,SIC division structure + SPDR select-sector definitions
3680,3699,,,Industrials,XLI,"Miscellaneous electrical equipment incl. magnetic media, batteries, x-ray apparatus - ambiguous across XLI/XLK/XLV; LOW = excluded pending security-level review per owner",LOW,narrow_range,pending,,,SIC division structure + SPDR select-sector definitions
3700,3710,,,Industrials,XLI,Transportation equipment NEC - Industrials,MEDIUM,narrow_range,pending,,,SIC division structure + SPDR select-sector definitions
3711,3719,,,Consumer Discretionary,XLY,Motor vehicles and parts - Discretionary (GICS autos),HIGH,narrow_range,pending,,,SIC division structure + SPDR select-sector definitions
3720,3749,,,Industrials,XLI,Aerospace rail and ship building - Industrials,MEDIUM,narrow_range,pending,,,SIC division structure + SPDR select-sector definitions
3750,3759,,,Consumer Discretionary,XLY,Motorcycles and bicycles - Discretionary,MEDIUM,narrow_range,pending,,,SIC division structure + SPDR select-sector definitions
3760,3799,,,Industrials,XLI,Guided missiles space and defense - Industrials,MEDIUM,narrow_range,pending,,,SIC division structure + SPDR select-sector definitions
3800,3811,,,Industrials,XLI,Instruments NEC - ambiguous residual; LOW = excluded pending security-level review,LOW,narrow_range,pending,,,Owner countersign 2 sequence: LOW-exclusion recovery (impact report 2026-07-11)
3812,3812,,,Industrials,XLI,"Search/detection/navigation/aeronautical systems - NOT sector-coherent (NOC/RTN/LHX are XLI defense but GRMN is XLY consumer devices on the same code); LOW = excluded, resolved ONLY by verified security overrides",LOW,single_sic,pending,,,"Owner countersign 3 (final amendment set, 2026-07-11)"
3813,3825,,,Industrials,XLI,"Lab/industrial process instruments (3822/3823 span XLI and XLV issuers - DHR vs TT vs ROP on the same codes); LOW = excluded, resolved by verified security overrides only",LOW,narrow_range,pending,,,Owner countersign 2 sequence: LOW-exclusion recovery (impact report 2026-07-11)
3826,3826,,,Health Care,XLV,Laboratory analytical instruments (ILMN/A/WAT class) - GICS Life Sciences Tools = Health Care; XLV holdings verified,HIGH,single_sic,pending,,,Owner countersign 2 sequence: LOW-exclusion recovery (impact report 2026-07-11)
3827,3827,,,Information Technology,XLK,Optical instruments and lenses - semiconductor process control (KLAC class) = Information Technology,MEDIUM,single_sic,pending,,,Owner countersign 2 sequence: LOW-exclusion recovery (impact report 2026-07-11)
3828,3839,,,Industrials,XLI,"Instruments residual - ambiguous (3829 spans TMO-class Health Care and industrial issuers); LOW = excluded, resolved by verified security overrides only",LOW,narrow_range,pending,,,Owner countersign 2 sequence: LOW-exclusion recovery (impact report 2026-07-11)
3840,3851,,,Health Care,XLV,Medical devices and supplies - Health Care,HIGH,narrow_range,pending,,,SIC division structure + SPDR select-sector definitions
3852,3899,,,Information Technology,XLK,Photographic/optical and misc instruments - Technology,LOW,narrow_range,pending,,,SIC division structure + SPDR select-sector definitions
3900,3999,,,Consumer Discretionary,XLY,Miscellaneous manufacturing - Discretionary,MEDIUM,narrow_range,pending,,,SIC division structure + SPDR select-sector definitions
4000,4609,,,Industrials,XLI,"Railroads, trucking, water and air transport - Industrials",MEDIUM,division_range,pending,,,SIC division structure + SPDR select-sector definitions
4610,4619,,,Energy,XLE,Pipeline transportation (crude/refined petroleum) - Energy; split out per owner review,HIGH,narrow_range,pending,,,SIC division structure + SPDR select-sector definitions
4620,4799,,,Industrials,XLI,Transportation services - Industrials,MEDIUM,narrow_range,pending,,,SIC division structure + SPDR select-sector definitions
4800,4809,,,Communication Services,XLC,Unused/rare communications codes - LOW = excluded pending affected-security review (zero preliminary-universe exposure),LOW,narrow_range,pending,,,Owner countersign 3; LOW/excluded row - the XLC label is advisory only and would apply from the classification effective date 2018-10-01 if ever upgraded
4810,4829,,2018-09-28,Information Technology,XLK,Telephone/wireless telecom (T/VZ/TMUS class) pre-2018 - the original SPDR taxonomy carried telecom inside XLK,MEDIUM,narrow_range,pending,,,"Owner countersign 3 (final amendment set, 2026-07-11)"
4810,4829,2018-10-01,,Communication Services,XLC,Telecom services - Communication Services (classification effective 2018-10-01),HIGH,narrow_range,pending,,,GICS 2018 restructure implemented after the 2018-09-28 close; first trading session under the new classification = 2018-10-01
4830,4849,,2018-09-28,Consumer Discretionary,XLY,Radio/TV broadcasting and cable (CMCSA/CHTR/TWX class) pre-2018 - GICS Media lived under Consumer Discretionary; S&P explicitly identifies Comcast as Discretionary media entering the new sector in 2018,HIGH,narrow_range,pending,,,"Owner countersign 3 (final amendment set, 2026-07-11)"
4830,4849,2018-10-01,,Communication Services,XLC,Broadcasting/cable/media - Communication Services (classification effective 2018-10-01),HIGH,narrow_range,pending,,,GICS 2018 restructure implemented after the 2018-09-28 close; first trading session under the new classification = 2018-10-01
4850,4899,,,Communication Services,XLC,Satellite and communications NEC - LOW = excluded pending affected-security review (preliminary-universe exposure: DTV1 31 + ASTS 15 universe-months),LOW,narrow_range,pending,,,Owner countersign 3; LOW/excluded row - the XLC label is advisory only and would apply from the classification effective date 2018-10-01 if ever upgraded
4900,4949,,,Utilities,XLU,"Electric, gas and water utilities - Utilities",HIGH,narrow_range,pending,,,SIC division structure + SPDR select-sector definitions
4950,4959,,,Industrials,XLI,Sanitary and refuse services - waste management = Industrials; split from XLU per owner review,MEDIUM,narrow_range,pending,,,SIC division structure + SPDR select-sector definitions
4960,4999,,,Utilities,XLU,"Steam supply, irrigation and combination utilities - Utilities",MEDIUM,narrow_range,pending,,,SIC division structure + SPDR select-sector definitions
5000,5044,,,Industrials,XLI,Wholesale durable goods - Industrials (trading companies/distributors),MEDIUM,narrow_range,pending,,,SIC division structure + SPDR select-sector definitions
5045,5045,,,Information Technology,XLK,Computers/peripherals wholesale - GICS Technology Distributors = IT; impact-report review required per owner countersign,MEDIUM,single_sic,pending,,,Owner countersign review 2026-07-11
5046,5046,,,Industrials,XLI,Commercial equipment NEC wholesale - Industrials,MEDIUM,single_sic,pending,,,SIC division structure + SPDR select-sector definitions
5047,5047,,,Health Care,XLV,Medical/dental/hospital equipment wholesale - GICS Health Care Distributors; impact-report review required per owner countersign,MEDIUM,single_sic,pending,,,Owner countersign review 2026-07-11
5048,5121,,,Industrials,XLI,Wholesale durable NEC + drugs proprietary sundries excl. 5122 - Industrials,MEDIUM,narrow_range,pending,,,SIC division structure + SPDR select-sector definitions
5122,5122,,,Health Care,XLV,Wholesale drug distributors (McKesson/Cencora class) - GICS Health Care Distributors = Health Care; XLV holdings verified,HIGH,single_sic,pending,,,Owner countersign review 2026-07-11
5123,5139,,,Industrials,XLI,Wholesale nondurable goods NEC - Industrials,MEDIUM,narrow_range,pending,,,SIC division structure + SPDR select-sector definitions
5140,5149,,,Consumer Staples,XLP,Food distribution wholesale - Staples,MEDIUM,narrow_range,pending,,,SIC division structure + SPDR select-sector definitions
5150,5170,,,Industrials,XLI,Wholesale farm products and chemicals - Industrials,MEDIUM,narrow_range,pending,,,SIC division structure + SPDR select-sector definitions
5171,5171,,,Energy,XLE,Petroleum bulk stations/terminals wholesale - Energy; impact-report review required per owner countersign,MEDIUM,single_sic,pending,,,Owner countersign review 2026-07-11
5172,5199,,,Industrials,XLI,Petroleum products NEC and other nondurable wholesale - Industrials,MEDIUM,narrow_range,pending,,,SIC division structure + SPDR select-sector definitions
5200,5399,,,Consumer Discretionary,XLY,"General merchandise & apparel retail - Discretionary, EXCEPT warehouse-club/essential-merchandise retailers which are Consumer Staples; those require effective-dated security-level overrides (affected-security review at the gate) before this row is relied on",MEDIUM,division_range,pending,,,SIC division structure + SPDR select-sector definitions
5400,5499,,,Consumer Staples,XLP,Food stores - Staples,HIGH,narrow_range,pending,,,SIC division structure + SPDR select-sector definitions
5500,5899,,,Consumer Discretionary,XLY,Auto dealers home furnishings eating and drinking - Discretionary,MEDIUM,division_range,pending,,,SIC division structure + SPDR select-sector definitions
5900,5911,,,Consumer Discretionary,XLY,Retail NEC - Discretionary,MEDIUM,narrow_range,pending,,,SIC division structure + SPDR select-sector definitions
5912,5912,,,Consumer Staples,XLP,Drug stores - Staples,HIGH,single_sic,pending,,,SIC division structure + SPDR select-sector definitions
5913,5999,,,Consumer Discretionary,XLY,Retail NEC - Discretionary,MEDIUM,narrow_range,pending,,,SIC division structure + SPDR select-sector definitions
6000,6499,,,Financials,XLF,Banks credit insurance carriers and brokers - Financials,HIGH,division_range,pending,,,SIC division structure + SPDR select-sector definitions
6500,6599,,2016-08-31,Financials,XLF,Real estate pre-XLRE - REITs/real estate lived in XLF before XLRE inception,HIGH,narrow_range,pending,,,SIC division structure + SPDR select-sector definitions
6500,6599,2016-09-01,,Real Estate,XLRE,GICS 2016 real-estate sector (classification effective 2016-09-01),HIGH,narrow_range,pending,,,GICS Real Estate sector effective after the 2016-08-31 close; first session under the new classification = 2016-09-01. ETF availability (XLRE first usable return 2015-10-08) is a separate registered property
6600,6797,,,Financials,XLF,Investment offices and holding companies - Financials,MEDIUM,division_range,pending,,,SIC division structure + SPDR select-sector definitions
6798,6798,,2016-08-31,Financials,XLF,REITs pre-XLRE inception - Financials,HIGH,single_sic,pending,,,SIC division structure + SPDR select-sector definitions
6798,6798,2016-09-01,,Real Estate,XLRE,REITs post-XLRE inception - Real Estate,HIGH,single_sic,pending,,,GICS Real Estate sector effective after the 2016-08-31 close; first session under the new classification = 2016-09-01. ETF availability (XLRE first usable return 2015-10-08) is a separate registered property
6799,6799,,,Financials,XLF,Investors NEC - Financials,MEDIUM,single_sic,pending,,,SIC division structure + SPDR select-sector definitions
7000,7099,,,Consumer Discretionary,XLY,Hotels and lodging - Discretionary,MEDIUM,narrow_range,pending,,,SIC division structure + SPDR select-sector definitions
7200,7299,,,Consumer Discretionary,XLY,Personal services - Discretionary,MEDIUM,narrow_range,pending,,,SIC division structure + SPDR select-sector definitions
7300,7309,,,Industrials,XLI,Business services NEC - Industrials,LOW,narrow_range,pending,,,SIC division structure + SPDR select-sector definitions
7310,7319,,2018-09-28,Consumer Discretionary,XLY,Advertising pre-2018 - Discretionary media,MEDIUM,narrow_range,pending,,,SIC division structure + SPDR select-sector definitions
7310,7319,2018-10-01,,Communication Services,XLC,GICS 2018 moved advertising to Communication Services,MEDIUM,narrow_range,pending,,,GICS 2018 restructure implemented after the 2018-09-28 close; first trading session under the new classification = 2018-10-01. ETF availability (XLC first usable return 2018-06-19) is a separate registered property
7320,7369,,,Industrials,XLI,Credit reporting staffing and facility services - Industrials,MEDIUM,narrow_range,pending,,,SIC division structure + SPDR select-sector definitions
7370,7370,,2018-09-28,Information Technology,XLK,Broad services-computer-programming/data-processing pre-2018 - Technology under the original SPDR taxonomy (contains later Communication-Services names; acceptable pre-2018 when both lived in XLK),MEDIUM,single_sic,pending,,,SIC division structure + SPDR select-sector definitions
7370,7370,2018-10-01,,Communication Services,XLC,"Post-2018 SIC 7370 cannot distinguish internet content/search (Communication Services) from IT-services issuers - EXCLUDED from primary construction; independently verified issuers (META, Alphabet) resolve via the frozen security-sector override table",LOW,single_sic,pending,,,GICS 2018 restructure implemented after the 2018-09-28 close; first trading session under the new classification = 2018-10-01. ETF availability (XLC first usable return 2018-06-19) is a separate registered property
7371,7374,,,Information Technology,XLK,"Computer programming services, prepackaged software (7372 - MSFT class), integrated systems, data processing - Technology",HIGH,narrow_range,pending,,,SIC division structure + SPDR select-sector definitions
7375,7375,,,Information Technology,XLK,Information retrieval services - too heterogeneous post-2018 (internet content vs IT); LOW = excluded pending security-level review per owner countersign,LOW,single_sic,pending,,,Owner countersign review 2026-07-11
7376,7379,,,Information Technology,XLK,"Computer facilities management, rental, maintenance, services NEC - Technology; MEDIUM per owner countersign",MEDIUM,narrow_range,pending,,,Owner countersign review 2026-07-11
7380,7399,,,Industrials,XLI,Miscellaneous business services - Industrials,MEDIUM,narrow_range,pending,,,SIC division structure + SPDR select-sector definitions
7500,7699,,,Consumer Discretionary,XLY,Auto repair rental and misc repair - Discretionary,MEDIUM,division_range,pending,,,SIC division structure + SPDR select-sector definitions
7800,7849,,2018-09-28,Consumer Discretionary,XLY,Motion pictures and video (incl. 7841) pre-2018 - Discretionary media,MEDIUM,narrow_range,pending,,,SIC division structure + SPDR select-sector definitions
7800,7849,2018-10-01,,Communication Services,XLC,Motion pictures/media post-GICS-2018 - Communication Services (classification effective 2018-10-01),HIGH,narrow_range,pending,,,GICS 2018 restructure implemented after the 2018-09-28 close; first trading session under the new classification = 2018-10-01. ETF availability (XLC first usable return 2018-06-19) is a separate registered property
7850,7899,,,Consumer Discretionary,XLY,Misc motion-picture services - Discretionary (thin range); split per owner review,MEDIUM,narrow_range,pending,,,SIC division structure + SPDR select-sector definitions
7900,7999,,,Consumer Discretionary,XLY,"Amusement, sports, fitness and recreation - Consumer Discretionary in ALL periods (XLC covers media/entertainment content, not recreational businesses) per owner review",MEDIUM,narrow_range,pending,,,SIC division structure + SPDR select-sector definitions
8000,8099,,,Health Care,XLV,Health services hospitals and clinics - Health Care,HIGH,narrow_range,pending,,,SIC division structure + SPDR select-sector definitions
8100,8199,,,Industrials,XLI,Legal services - Industrials (coarse),LOW,narrow_range,pending,,,SIC division structure + SPDR select-sector definitions
8200,8299,,,Consumer Discretionary,XLY,Educational services - Discretionary,MEDIUM,narrow_range,pending,,,SIC division structure + SPDR select-sector definitions
8300,8699,,,Industrials,XLI,Social and membership services (coarse) - Industrials,LOW,division_range,pending,,,SIC division structure + SPDR select-sector definitions
8700,8730,,,Industrials,XLI,Engineering accounting and management services - Industrials,MEDIUM,narrow_range,pending,,,SIC division structure + SPDR select-sector definitions
8731,8731,,,Health Care,XLV,"Commercial physical & biological research - often biotech (Health Care) but can include non-health scientific research; MEDIUM per owner review, security-level overrides where needed",MEDIUM,single_sic,pending,,,SIC division structure + SPDR select-sector definitions
8732,8799,,,Industrials,XLI,Research management and related services - Industrials,MEDIUM,narrow_range,pending,,,SIC division structure + SPDR select-sector definitions
8800,8999,,,Industrials,XLI,Services NEC - Industrials (coarse),LOW,division_range,pending,,,SIC division structure + SPDR select-sector definitions
